# Ontologie canonique des ingredients. nom_fr et prix_eur_kg
# sont remplis par les etapes 04 (traduction) et 05 (prix).
id,nom_fr,nom_en,categorie,g_par_ml,g_par_piece,g_ml_defaut,g_piece_defaut,ml_jus,conservation_j,fond_placard,allergenes,prix_eur_kg,prix_cure,occurrences
jasmine_rice,,jasmine rice,cereale,0.85,,0.70,100,,365,1,,2.5,0,477
fettuccine_pasta,,fettuccine pasta,cereale,,,0.70,100,,365,1,gluten,2.5,0,475
oyster,,oyster,poisson,,,0.70,150,,2,0,crustaces,18.0,0,475
sweet_butter,,sweet butter,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose,5.0,0,474
marsala_wine,,marsala wine,alcool,0.99,,0.98,750,,730,0,,8.0,0,473
pimento_stuffed_olive,,pimento stuffed olive,legume,,,0.60,120,,7,0,,3.0,0,473
chunky_peanut_butter,,chunky peanut butter,oleagineux,1.08,113.0,0.50,1,,180,0,lactose;arachide,14.0,0,472
brown_onion,,brown onion,legume,,150.0,0.60,120,,7,0,,3.0,0,472
red_seedless_grape,,red seedless grape,fruit,,,0.65,150,,7,0,,3.5,0,471
chicken_tender,,chicken tender,volaille,,,0.70,150,,2,0,,9.0,0,471
distilled_white_vinegar,,distilled white vinegar,condiment,1.01,,1.05,15,,180,1,,6.0,0,469
instant_onion,,instant onion,legume,,150.0,0.60,120,,7,0,,3.0,0,469
crescent_roll,,crescent roll,pain,,,0.25,40,,4,0,,4.0,0,469
mango_chutney,,mango chutney,condiment,,,1.05,15,,180,1,,6.0,0,468
strong_coffee,,strong coffee,boisson,,,1.00,250,,90,0,,2.0,0,468
artificial_sweetener,,artificial sweetener,sucrant,,,0.85,20,,730,1,,6.0,0,467
mixed_green,,mixed green,transforme,,,0.80,200,,180,0,,7.0,0,467
ginger_powder,,ginger powder,epice,,,0.50,2,,730,1,,20.0,0,466
pineapple_in_juice,,pineapple in juice,fruit,1.04,180.0,0.65,150,,7,0,,3.5,0,465
port_wine,,port wine,alcool,0.99,,0.98,750,,730,0,,8.0,0,462
rotel,,rotel,autre,,,0.70,100,,90,0,,5.0,0,462
almond_flour,,almond flour,oleagineux,0.53,,0.50,1,,180,0,gluten;fruits_a_coque,14.0,0,462
semi_sweet_chocolate_baking_square,,semi-sweet chocolate baking square,sucrant,,,0.85,20,,730,1,,6.0,0,460
white_potato,,white potato,legume,,170.0,0.60,120,,7,0,,3.0,0,460
french_baguette,,french baguette,autre,,,0.70,100,,90,0,,5.0,0,459
semisweet_chocolate_morsel,,semisweet chocolate morsel,sucrant,,,0.85,20,,730,1,,6.0,0,458
orange_extract,,orange extract,patisserie,,150.0,0.60,10,70.0,365,1,,15.0,0,457
coleslaw_mix,,coleslaw mix,transforme,,,0.80,200,,180,0,,7.0,0,457
split_pea,,split pea,legumineuse,,,0.75,150,,730,1,,3.0,0,457
wheat_bran,,wheat bran,cereale,,,0.70,100,,365,1,,2.5,0,456
devil_s_food_cake_mix,,devil s food cake mix,transforme,,,0.80,200,,180,0,,7.0,0,456
garlic_paste,,garlic paste,legume,,50.0,0.60,120,,7,0,,3.0,0,455
habanero_pepper,,habanero pepper,epice,,,0.50,2,,730,1,,20.0,0,455
rum_extract,,rum extract,patisserie,,,0.60,10,,365,1,,15.0,0,453
rose_water,,rose water,boisson,1.0,,1.00,250,,90,0,,2.0,0,452
imitation_crabmeat,,imitation crabmeat,viande,,,0.70,150,,3,0,crustaces,12.0,0,452
beef_roast,,beef roast,viande,,,0.70,150,,3,0,,12.0,0,451
navel_orange,,navel orange,fruit,,150.0,0.65,150,70.0,7,0,,3.5,0,451
chocolate_cake_mix,,chocolate cake mix,sucrant,,,0.85,20,,730,1,,6.0,0,450
lemonade_concentrate,,lemonade concentrate,fruit,,100.0,0.65,150,45.0,7,0,,3.5,0,450
mixed_fruit,,mixed fruit,transforme,,,0.80,200,,180,0,,7.0,0,450
rice_noodle,,rice noodle,cereale,0.85,,0.70,100,,365,1,gluten,2.5,0,449
clam_juice,,clam juice,boisson,1.04,,1.00,250,,90,0,crustaces,2.0,0,448
walnut_half,,walnut half,oleagineux,0.5,,0.50,1,,180,0,fruits_a_coque,14.0,0,448
yam,,yam,autre,,,0.70,100,,90,0,,5.0,0,448
eagle_brand_condensed_milk,,eagle brand condensed milk,laitier,1.28,,1.02,200,,10,0,lactose,3.0,0,448
honey_mustard,,honey mustard,condiment,1.05,,1.05,15,,180,1,,6.0,0,447
red_bean,,red bean,legumineuse,,,0.75,150,,730,1,,3.0,0,445
champagne,,champagne,viande,,,0.70,150,,3,0,,12.0,0,444
strawberry_jam,,strawberry jam,fruit,,,0.65,150,,7,0,,3.5,0,441
ancho_chile_powder,,ancho chile powder,epice,,,0.50,2,,730,1,,20.0,0,441
cracker_crumb,,cracker crumb,pain,,,0.25,40,,4,0,gluten,4.0,0,441
seasoning,,seasoning,epice,,,0.50,2,,730,1,,20.0,0,440
brewed_coffee,,brewed coffee,boisson,,,1.00,250,,90,0,,2.0,0,440
leg_of_lamb,,leg of lamb,viande,,,0.70,150,,3,0,,12.0,0,439
caramel_ice_cream_topping,,caramel ice cream topping,laitier,0.99,,1.02,200,,10,0,lactose,3.0,0,438
dark_chocolate_chip,,dark chocolate chip,sucrant,0.72,,0.85,20,,730,1,,6.0,0,438
triple_sec,,triple sec,autre,,,0.70,100,,90,0,,5.0,0,438
taco_sauce,,taco sauce,condiment,,,1.05,15,,180,1,,6.0,0,438
yellow_food_coloring,,yellow food coloring,patisserie,,,0.60,10,,365,1,,15.0,0,437
cooking_apple,,cooking apple,fruit,,180.0,0.65,150,,7,0,,3.5,0,434
cup_butter,,cup butter,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose,5.0,0,434
italian_style_tomato,,italian-style tomato,legume,,120.0,0.60,120,,7,0,,3.0,0,433
potato_chip,,potato chip,legume,,170.0,0.60,120,,7,0,,3.0,0,433
snipped_chive,,snipped chive,herbe,,,0.25,5,,5,0,,25.0,0,433
dark_red_kidney_bean,,dark red kidney bean,legumineuse,,,0.75,150,,730,1,,3.0,0,432
peanut_butter_chip,,peanut butter chip,oleagineux,1.08,113.0,0.50,1,,180,0,lactose;arachide,14.0,0,432
anise_seed,,anise seed,oleagineux,,,0.50,1,,180,0,,14.0,0,432
chipotle_chile,,chipotle chile,autre,,,0.70,100,,90,0,,5.0,0,432
mixed_mushroom,,mixed mushroom,legume,,20.0,0.60,120,,7,0,,3.0,0,431
salami,,salami,viande,,,0.70,150,,3,0,,12.0,0,431
savory,,savory,autre,,,0.70,100,,90,0,,5.0,0,431
white_pearl_onion,,white pearl onion,legume,,150.0,0.60,120,,7,0,,3.0,0,430
broth,,broth,bouillon,1.0,,1.00,250,,365,1,,1.5,0,430
ramen_noodle,,ramen noodle,cereale,,,0.70,100,,365,1,gluten,2.5,0,429
ziti_pasta,,ziti pasta,cereale,,,0.70,100,,365,1,gluten,2.5,0,429
rosemary_sprig,,rosemary sprig,herbe,,,0.25,5,,5,0,,25.0,0,429
baked_bean,,baked bean,legumineuse,,,0.75,150,,730,1,,3.0,0,427
mixed_berry,,mixed berry,transforme,,,0.80,200,,180,0,,7.0,0,427
liquid_honey,,liquid honey,sucrant,1.42,,0.85,20,,730,1,,6.0,0,426
instant_espresso_powder,,instant espresso powder,epice,,,0.50,2,,730,1,,20.0,0,426
quick_cooking_rolled_oat,,quick-cooking rolled oat,pain,0.4,,0.25,40,,4,0,gluten,4.0,0,425
kaffir_lime_leaf,,kaffir lime leaf,fruit,,65.0,0.65,150,30.0,7,0,,3.5,0,424
andouille_sausage,,andouille sausage,viande,,,0.70,150,,3,0,,12.0,0,423
jicama,,jicama,legume,,,0.60,120,,7,0,,3.0,0,422
beef_bouillon_granule,,beef bouillon granule,bouillon,,,1.00,250,,365,1,,1.5,0,420
red_curry_paste,,red curry paste,epice,,,0.50,2,,730,1,,20.0,0,419
smoked_ham,,smoked ham,viande,,,0.70,150,,3,0,,12.0,0,419
chili_oil,,chili oil,epice,0.92,,0.50,2,,730,1,,20.0,0,418
green_apple,,green apple,fruit,,180.0,0.65,150,,7,0,,3.5,0,418
cinnamon_sugar,,cinnamon sugar,epice,0.85,,0.50,2,,730,1,,20.0,0,417
cod_fish_fillet,,cod fish fillet,poisson,,,0.70,150,,2,0,poisson,18.0,0,417
refrigerated_pie_crust,,refrigerated pie crust,pain,,,0.25,40,,4,0,gluten,4.0,0,417
pie_shell,,pie shell,autre,,,0.70,100,,90,0,,5.0,0,417
rye_flour,,rye flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,416
1_original_sauce,,1 original sauce,condiment,,,1.05,15,,180,1,,6.0,0,415
dutch_processed_cocoa_powder,,dutch-processed cocoa powder,epice,0.42,,0.50,2,,730,1,,20.0,0,414
red_apple,,red apple,fruit,,180.0,0.65,150,,7,0,,3.5,0,414
sweet_italian_sausage,,sweet italian sausage,viande,,,0.70,150,,3,0,,12.0,0,413
beef_bouillon,,beef bouillon,bouillon,,,1.00,250,,365,1,,1.5,0,412
low_sodium_beef_broth,,low sodium beef broth,bouillon,1.0,,1.00,250,,365,1,,1.5,0,411
accent_seasoning,,accent seasoning,epice,,,0.50,2,,730,1,,20.0,0,409
corn_chip,,corn chip,legume,,,0.60,120,,7,0,,3.0,0,409
sriracha_sauce,,sriracha sauce,condiment,,,1.05,15,,180,1,,6.0,0,409
cranberry_sauce,,cranberry sauce,fruit,,,0.65,150,,7,0,,3.5,0,408
bean,,bean,legumineuse,,,0.75,150,,730,1,,3.0,0,408
chicken_breast_fillet,,chicken breast fillet,volaille,,175.0,0.70,150,,2,0,,9.0,0,407
mexican_oregano,,mexican oregano,herbe,,,0.25,5,,5,0,,25.0,0,407
tomato_ketchup,,tomato ketchup,condiment,1.14,120.0,1.05,15,,180,1,,6.0,0,405
neufchatel_cheese,,neufchatel cheese,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,404
angel_food_cake,,angel food cake,autre,,,0.70,100,,90,0,,5.0,0,404
purple_onion,,purple onion,legume,,150.0,0.60,120,,7,0,,3.0,0,403
butter_bean,,butter bean,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose,5.0,0,402
tablespoon_olive_oil,,tablespoon olive oil,legume,0.92,,0.60,120,,7,0,,3.0,0,402
ginger_paste,,ginger paste,epice,,,0.50,2,,730,1,,20.0,0,401
almond_meal,,almond meal,oleagineux,,,0.50,1,,180,0,fruits_a_coque,14.0,0,400
adobo_sauce,,adobo sauce,condiment,,,1.05,15,,180,1,,6.0,0,400
whiskey,,whiskey,alcool,,,0.98,750,,730,0,,8.0,0,400
basil_pesto,,basil pesto,herbe,,,0.25,5,,5,0,,25.0,0,399
lemonade,,lemonade,fruit,,100.0,0.65,150,45.0,7,0,,3.5,0,399
meatball,,meatball,viande,,,0.70,150,,3,0,,12.0,0,399
biscuit_mix,,biscuit mix,pain,,,0.25,40,,4,0,,4.0,0,398
porcini_mushroom,,porcini mushroom,legume,,20.0,0.60,120,,7,0,,3.0,0,398
italian_salad_dressing_mix,,italian salad dressing mix,condiment,,,1.05,15,,180,1,,6.0,0,398
arrowroot,,arrowroot,autre,,,0.70,100,,90,0,,5.0,0,395
chili_garlic_sauce,,chili-garlic sauce,legume,,50.0,0.60,120,,7,0,,3.0,0,395
splenda_brown_sugar_blend,,splenda brown sugar blend,transforme,0.93,,0.80,200,,180,0,,7.0,0,394
lipton_onion_soup_mix,,lipton onion soup mix,legume,,150.0,0.60,120,,7,0,,3.0,0,394
stew_meat,,stew meat,viande,,,0.70,150,,3,0,,12.0,0,394
squeezed_orange_juice,,squeezed orange juice,fruit,1.04,150.0,0.65,150,70.0,7,0,,3.5,0,394
pam_cooking_spray,,pam cooking spray,transforme,,,0.80,200,,180,0,,7.0,0,393
strawberry_jell_o_gelatin_dessert,,strawberry jell-o gelatin dessert,fruit,,,0.65,150,,7,0,,3.5,0,392
squeezed_lemon_juice,,squeezed lemon juice,fruit,1.04,100.0,0.65,150,45.0,7,0,,3.5,0,392
rye_bread,,rye bread,pain,,30.0,0.25,40,,4,0,gluten,4.0,0,391
beef_chuck_roast,,beef chuck roast,viande,,,0.70,150,,3,0,,12.0,0,391
yoghurt,,yoghurt,autre,,,0.70,100,,90,0,,5.0,0,390
snipped_parsley,,snipped parsley,herbe,,,0.25,5,,5,0,,25.0,0,390
swiss_chard,,swiss chard,legume,,,0.60,120,,7,0,,3.0,0,389
rotisserie_chicken,,rotisserie- chicken,volaille,,,0.70,150,,2,0,,9.0,0,388
broiler_fryer_chicken,,broiler-fryer chicken,volaille,0.92,,0.70,150,,2,0,,9.0,0,386
fish_stock,,fish stock,bouillon,1.0,,1.00,250,,365,1,poisson,1.5,0,386
chipotle_pepper,,chipotle pepper,epice,,,0.50,2,,730,1,,20.0,0,386
chow_mein_noodle,,chow mein noodle,cereale,,,0.70,100,,365,1,gluten,2.5,0,385
salad_dressing,,salad dressing,condiment,,,1.05,15,,180,1,,6.0,0,383
wine,,wine,alcool,0.99,,0.98,750,,730,0,,8.0,0,383
hard_egg,,hard- egg,oeuf,,50.0,1.03,50,,28,0,oeuf,5.5,0,382
grape,,grape,fruit,,,0.65,150,,7,0,,3.5,0,382
turkey_bacon,,turkey bacon,volaille,,25.0,0.70,150,,2,0,,9.0,0,379
canadian_bacon,,canadian bacon,viande,,25.0,0.70,150,,3,0,,12.0,0,379
refrigerated_biscuit,,refrigerated biscuit,pain,,,0.25,40,,4,0,,4.0,0,379
golden_delicious_apple,,golden delicious apple,fruit,,180.0,0.65,150,,7,0,,3.5,0,379
lawry_s_seasoned_salt,,lawry s seasoned salt,epice,1.22,,0.50,2,,730,1,,20.0,0,377
round,,round,autre,,,0.70,100,,90,0,,5.0,0,377
bulk_pork_sausage,,bulk pork sausage,viande,,,0.70,150,,3,0,,12.0,0,377
unbleached_white_flour,,unbleached white flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,376
season_salt,,season salt,epice,1.22,,0.50,2,,730,1,,20.0,0,376
vermicelli,,vermicelli,boisson,,,1.00,250,,90,0,,2.0,0,376
gruyere,,gruyere,autre,,,0.70,100,,90,0,,5.0,0,376
cashew_nut,,cashew nut,oleagineux,0.5,,0.50,1,,180,0,fruits_a_coque,14.0,0,375
apple_pie_filling,,apple pie filling,fruit,,180.0,0.65,150,,7,0,,3.5,0,374
anchovy,,anchovy,poisson,,,0.70,150,,2,0,poisson,18.0,0,374
granola_cereal,,granola cereal,autre,,,0.70,100,,90,0,,5.0,0,373
mixed_nut,,mixed nut,oleagineux,0.5,,0.50,1,,180,0,,14.0,0,373
white_fish_fillet,,white fish fillet,poisson,,,0.70,150,,2,0,poisson,18.0,0,373
cheddar_cheese_soup,,cheddar cheese soup,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,372
minute_rice,,minute rice,cereale,0.85,,0.70,100,,365,1,,2.5,0,372
beef_tenderloin,,beef tenderloin,viande,,,0.70,150,,3,0,,12.0,0,371
carbonated_lemon_lime_beverage,,carbonated lemon-lime beverage,fruit,,100.0,0.65,150,45.0,7,0,,3.5,0,371
pepperoncini_pepper,,pepperoncini pepper,epice,,,0.50,2,,730,1,,20.0,0,371
cheese_tortellini,,cheese tortellini,cereale,0.45,,0.70,100,,365,1,lactose,2.5,0,370
pork_roast,,pork roast,viande,,,0.70,150,,3,0,,12.0,0,370
tarragon_leaf,,tarragon leaf,herbe,,,0.25,5,,5,0,,25.0,0,370
soft_brown_sugar,,soft brown sugar,sucrant,0.93,,0.85,20,,730,1,,6.0,0,369
tomato_with_green_chili,,tomato with green chili,legume,,120.0,0.60,120,,7,0,,3.0,0,369
simply_potato_potato_with_onion,,simply potato potato with onion,legume,,170.0,0.60,120,,7,0,,3.0,0,367
sifted_cake_flour,,sifted cake flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,366
polenta,,polenta,cereale,,,0.70,100,,365,1,,2.5,0,366
coconut_flake,,coconut flake,oleagineux,0.35,,0.50,1,,180,0,,14.0,0,365
pepper_flake,,pepper flake,epice,,,0.50,2,,730,1,,20.0,0,365
craisin,,craisin,fruit,0.62,,0.65,150,,7,0,,3.5,0,365
brown_rice_flour,,brown rice flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,363
sweet_pepper,,sweet pepper,epice,,,0.50,2,,730,1,,20.0,0,363
solid_pack_pumpkin,,solid-pack pumpkin,legume,,,0.60,120,,7,0,,3.0,0,362
popped_popcorn,,popped popcorn,legume,,,0.60,120,,7,0,,3.0,0,361
vanilla_sugar,,vanilla sugar,patisserie,0.85,,0.60,10,,365,1,,15.0,0,361
evaporated_skim_milk,,evaporated skim milk,laitier,1.03,,1.02,200,,10,0,lactose,3.0,0,360
all_bran_cereal,,all-bran cereal,cereale,,,0.70,100,,365,1,,2.5,0,360
steak_sauce,,steak sauce,viande,,,0.70,150,,3,0,,12.0,0,360
cilantro_stem,,cilantro stem,herbe,,,0.25,5,,5,0,,25.0,0,360
bread_machine_yeast,,bread machine yeast,patisserie,,30.0,0.60,10,,365,1,gluten,15.0,0,359
egg_roll_wrap,,egg roll wrap,pain,,50.0,0.25,40,,4,0,oeuf,4.0,0,359
orange_liqueur,,orange liqueur,alcool,,150.0,0.98,750,70.0,730,0,,8.0,0,359
chicken_liver,,chicken liver,volaille,,,0.70,150,,2,0,,9.0,0,359
salad_green,,salad green,autre,,,0.70,100,,90,0,,5.0,0,358
turbinado_sugar,,turbinado sugar,sucrant,0.85,,0.85,20,,730,1,,6.0,0,358
pork_loin_roast,,pork loin roast,viande,,,0.70,150,,3,0,,12.0,0,357
golden_brown_sugar,,golden brown sugar,sucrant,0.93,,0.85,20,,730,1,,6.0,0,357
anaheim_chili,,anaheim chili,epice,,,0.50,2,,730,1,,20.0,0,357
brownie_mix,,brownie mix,transforme,,,0.80,200,,180,0,,7.0,0,355
toothpick,,toothpick,autre,,,0.70,100,,90,0,,5.0,0,355
dark_molasses,,dark molasses,sucrant,1.45,,0.85,20,,730,1,,6.0,0,354
kiwi,,kiwi,autre,,,0.70,100,,90,0,,5.0,0,354
pea_and_carrot,,pea and carrot,legume,,60.0,0.60,120,,7,0,,3.0,0,354
oleo,,oleo,autre,,,0.70,100,,90,0,,5.0,0,353
palm_sugar,,palm sugar,sucrant,0.85,,0.85,20,,730,1,,6.0,0,352
jam,,jam,sucrant,,,0.85,20,,730,1,,6.0,0,352
mushroom_stem_and_piece,,mushroom stem and piece,legume,,20.0,0.60,120,,7,0,,3.0,0,351
cup_milk,,cup milk,laitier,1.03,,1.02,200,,10,0,lactose,3.0,0,351
white_cheddar_cheese,,white cheddar cheese,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,350
chili_seasoning_mix,,chili seasoning mix,epice,,,0.50,2,,730,1,,20.0,0,348
smoked_bacon,,smoked bacon,viande,,25.0,0.70,150,,3,0,,12.0,0,347
almond_butter,,almond butter,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose;fruits_a_coque,5.0,0,345
safflower_oil,,safflower oil,matiere_grasse,0.92,,0.92,113,,120,1,,5.0,0,345
nutella,,nutella,oleagineux,0.5,,0.50,1,,180,0,,14.0,0,344
brown_lentil,,brown lentil,legumineuse,,,0.75,150,,730,1,,3.0,0,343
mild_green_chili,,mild green chili,epice,,,0.50,2,,730,1,,20.0,0,341
orange_slice,,orange slice,fruit,,150.0,0.65,150,70.0,7,0,,3.5,0,340
powdered_ginger,,powdered ginger,epice,,,0.50,2,,730,1,,20.0,0,339
thousand_island_dressing,,thousand island dressing,condiment,,,1.05,15,,180,1,,6.0,0,339
stevia,,stevia,autre,,,0.70,100,,90,0,,5.0,0,339
white_button_mushroom,,white button mushroom,legume,,20.0,0.60,120,,7,0,,3.0,0,339
tasty_cheese,,tasty cheese,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,339
tater_tot,,tater tot,autre,,,0.70,100,,90,0,,5.0,0,339
simply_potato_reg_hash_brown,,simply potato &reg hash brown,legume,,170.0,0.60,120,,7,0,,3.0,0,338
phyllo_pastry,,phyllo pastry,pain,,,0.25,40,,4,0,gluten,4.0,0,338
baking_chocolate,,baking chocolate,sucrant,,,0.85,20,,730,1,,6.0,0,338
ladyfinger,,ladyfinger,autre,,,0.70,100,,90,0,,5.0,0,334
toffee_piece,,toffee piece,autre,,,0.70,100,,90,0,,5.0,0,333
walnut_oil,,walnut oil,oleagineux,0.92,,0.50,1,,180,0,fruits_a_coque,14.0,0,333
green_tomato,,green tomato,legume,,120.0,0.60,120,,7,0,,3.0,0,333
gin,,gin,autre,,,0.70,100,,90,0,,5.0,0,332
black_mustard_seed,,black mustard seed,epice,1.05,,0.50,2,,730,1,,20.0,0,331
baking_mix,,baking mix,patisserie,,,0.60,10,,365,1,,15.0,0,330
dog_bun,,dog bun,pain,,,0.25,40,,4,0,,4.0,0,329
bacon_dripping,,bacon dripping,viande,,25.0,0.70,150,,3,0,,12.0,0,327
cointreau_liqueur,,cointreau liqueur,alcool,,,0.98,750,,730,0,,8.0,0,327
cup_sugar,,cup sugar,sucrant,0.85,,0.85,20,,730,1,,6.0,0,327
tapioca_flour,,tapioca flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,326
natural_style_peanut_butter,,natural-style peanut butter,oleagineux,1.08,113.0,0.50,1,,180,0,lactose;arachide,14.0,0,325
seedless_grape,,seedless grape,fruit,,,0.65,150,,7,0,,3.5,0,325
catfish_fillet,,catfish fillet,poisson,,,0.70,150,,2,0,poisson,18.0,0,325
curry,,curry,epice,,,0.50,2,,730,1,,20.0,0,324
italian_breadcrumb,,italian breadcrumb,pain,0.45,30.0,0.25,40,,4,0,gluten,4.0,0,324
head_cauliflower,,head cauliflower,legume,,,0.60,120,,7,0,,3.0,0,324
spaghetti_squash,,spaghetti squash,cereale,,,0.70,100,,365,1,gluten,2.5,0,324
gluten_free_flour,,gluten-free flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,324
anchovy_paste,,anchovy paste,poisson,,,0.70,150,,2,0,poisson,18.0,0,323
seasoned_stuffing_mix,,seasoned stuffing mix,transforme,,,0.80,200,,180,0,,7.0,0,323
squash,,squash,legume,,,0.60,120,,7,0,,3.0,0,323
red_pepper_sauce,,red pepper sauce,epice,,,0.50,2,,730,1,,20.0,0,323
rotel_tomato_chili,,rotel tomato & chili,legume,,120.0,0.60,120,,7,0,,3.0,0,321
french_style_green_bean,,french style green bean,legumineuse,,,0.75,150,,730,1,,3.0,0,321
beef_chuck,,beef chuck,viande,,,0.70,150,,3,0,,12.0,0,321
pickle,,pickle,autre,,,0.70,100,,90,0,,5.0,0,321
kaiser_roll,,kaiser roll,pain,,,0.25,40,,4,0,,4.0,0,320
lime_rind,,lime rind,fruit,,65.0,0.65,150,30.0,7,0,,3.5,0,320
almond_paste,,almond paste,oleagineux,,,0.50,1,,180,0,fruits_a_coque,14.0,0,319
key_lime_juice,,key lime juice,boisson,1.04,65.0,1.00,250,30.0,90,0,,2.0,0,319
italian_herb_seasoning,,italian herb seasoning,epice,,,0.50,2,,730,1,,20.0,0,319
silken_tofu,,silken tofu,legumineuse,,,0.75,150,,730,1,soja,3.0,0,318
gouda_cheese,,gouda cheese,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,318
pork_butt,,pork butt,viande,,,0.70,150,,3,0,,12.0,0,318
deep_dish_pie_shell,,deep dish pie shell,autre,,,0.70,100,,90,0,,5.0,0,318
grainy_mustard,,grainy mustard,condiment,1.05,,1.05,15,,180,1,,6.0,0,317
raspberry_vinegar,,raspberry vinegar,fruit,1.01,,0.65,150,,7,0,,3.5,0,316
dark_beer,,dark beer,alcool,,,0.98,750,,730,0,,8.0,0,316
madeira_wine,,madeira wine,alcool,0.99,,0.98,750,,730,0,,8.0,0,316
thickened_cream,,thickened cream,laitier,0.99,,1.02,200,,10,0,lactose,3.0,0,315
tamarind_paste,,tamarind paste,condiment,,,1.05,15,,180,1,,6.0,0,315
salt_pork,,salt pork,epice,1.22,,0.50,2,,730,1,,20.0,0,315
semolina,,semolina,cereale,,,0.70,100,,365,1,gluten,2.5,0,314
sour_milk,,sour milk,laitier,1.03,,1.02,200,,10,0,lactose,3.0,0,314
fast_rising_yeast,,fast rising yeast,patisserie,,,0.60,10,,365,1,,15.0,0,313
vanilla_pudding_mix,,vanilla pudding mix,patisserie,,,0.60,10,,365,1,,15.0,0,313
nectarine,,nectarine,autre,,,0.70,100,,90,0,,5.0,0,313
lime_slice,,lime slice,fruit,,65.0,0.65,150,30.0,7,0,,3.5,0,312
tuna_steak,,tuna steak,viande,,,0.70,150,,3,0,poisson,12.0,0,312
farfalle_pasta,,farfalle pasta,cereale,,,0.70,100,,365,1,gluten,2.5,0,312
green_seedless_grape,,green seedless grape,fruit,,,0.65,150,,7,0,,3.5,0,312
seasoned_rice_vinegar,,seasoned rice vinegar,condiment,1.01,,1.05,15,,180,1,,6.0,0,311
crisco_shortening,,crisco shortening,matiere_grasse,0.92,,0.92,113,,120,1,,5.0,0,311
coffee_liqueur,,coffee liqueur,alcool,,,0.98,750,,730,0,,8.0,0,311
miso,,miso,autre,,,0.70,100,,90,0,soja,5.0,0,311
clarified_butter,,clarified butter,matiere_grasse,0.96,113.0,0.92,113,,120,1,lactose,5.0,0,310
ginger_garlic_paste,,ginger-garlic paste,legume,,50.0,0.60,120,,7,0,,3.0,0,309
eggnog,,eggnog,oeuf,,50.0,1.03,50,,28,0,oeuf,5.5,0,309
cup_all_purpose_flour,,cup all-purpose flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,309
wooden_skewer,,wooden skewer,autre,,,0.70,100,,90,0,,5.0,0,309
white_breadcrumb,,white breadcrumb,pain,0.45,30.0,0.25,40,,4,0,gluten,4.0,0,309
apple_juice_concentrate,,apple juice concentrate,fruit,1.04,180.0,0.65,150,,7,0,,3.5,0,309
pistachio_nut,,pistachio nut,oleagineux,0.5,,0.50,1,,180,0,fruits_a_coque,14.0,0,309
fenugreek_seed,,fenugreek seed,oleagineux,,,0.50,1,,180,0,,14.0,0,308
garlic_granule,,garlic granule,legume,,50.0,0.60,120,,7,0,,3.0,0,308
idaho_potato,,idaho potato,legume,,170.0,0.60,120,,7,0,,3.0,0,308
rutabaga,,rutabaga,autre,,,0.70,100,,90,0,,5.0,0,308
center_cut_pork_chop,,center-cut pork chop,viande,,,0.70,150,,3,0,,12.0,0,308
fat_free_chicken_broth,,fat free chicken broth,volaille,1.0,,0.70,150,,2,0,,9.0,0,306
frank_s_red_sauce,,frank s red sauce,condiment,,,1.05,15,,180,1,,6.0,0,306
msg,,msg,autre,,,0.70,100,,90,0,,5.0,0,305
oat_flour,,oat flour,cereale,0.53,,0.70,100,,365,1,gluten,2.5,0,305
romaine_lettuce_leaf,,romaine lettuce leaf,legume,,,0.60,120,,7,0,,3.0,0,304
italian_cheese_blend,,italian cheese blend,fromage,0.45,,0.45,30,,21,0,lactose,13.0,0,304
caramel_topping,,caramel topping,autre,,,0.70,100,,90,0,,5.0,0,302
cream_of_coconut,,cream of coconut,oleagineux,0.35,,0.50,1,,180,0,lactose,14.0,0,302
grapefruit,,grapefruit,fruit,,,0.65,150,,7,0,,3.5,0,301
italian_tomato,,italian tomato,legume,,120.0,0.60,120,,7,0,,3.0,0,301
mrs_dash_seasoning_mix,,mrs dash seasoning mix,epice,,,0.50,2,,730,1,,20.0,0,300
seedless_raisin,,seedless raisin,fruit,0.62,,0.65,150,,7,0,,3.5,0,300
white_balsamic_vinegar,,white balsamic vinegar,condiment,1.01,,1.05,15,,180,1,,6.0,0,299
vital_wheat_gluten,,vital wheat gluten,autre,,,0.70,100,,90,0,,5.0,0,298
aluminum_foil,,aluminum foil,matiere_grasse,0.92,,0.92,113,,120,1,,5.0,0,298
